starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	0	0
Wed Sep 25 20:54:50 2019	1569459290	0	0	1	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	1	0
Wed Sep 25 20:54:49 2019	1569459289	0	0	1	0
Wed Sep 25 20:54:50 2019	1569459290	0	1	1	0
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:50 2019	1569459290	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:50 2019	1569459290	0	1	1	0
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	1	1
Wed Sep 25 20:54:50 2019	1569459290	0	1	1	0
Wed Sep 25 20:54:49 2019	1569459289	1	1	2	1
Wed Sep 25 20:54:49 2019	1569459289	0	2	2	1
Wed Sep 25 20:54:49 2019	1569459289	1	1	2	0
Wed Sep 25 20:54:49 2019	1569459289	0	1	2	1
Wed Sep 25 20:54:49 2019	1569459289	0	2	2	1
Wed Sep 25 20:54:49 2019	1569459289	0	1	2	1
Wed Sep 25 20:54:49 2019	1569459289	0	2	2	2
Wed Sep 25 20:54:50 2019	1569459290	0	2	2	2
Wed Sep 25 20:54:49 2019	1569459289	1	1	2	0
Wed Sep 25 20:54:49 2019	1569459289	0	1	2	1
Wed Sep 25 20:54:49 2019	1569459289	1	1	2	0
Wed Sep 25 20:54:50 2019	1569459290	0	2	2	2
Wed Sep 25 20:54:49 2019	1569459289	1	1	2	0
