[2019-09-24 02:46:06.430] [Thread - 8461] [info] loaded static data of size 5
[2019-09-24 02:46:06.431] [Thread - 8461] [info] server listening on port 8080
[2019-09-24 02:46:10.614] [Thread - 8464] [info] Successfully withdrew $1000 for customer 101
[2019-09-24 02:46:10.614] [Thread - 8463] [info] Successfully withdrew $2000 for customer 101
[2019-09-24 02:46:10.614] [Thread - 8468] [info] Successfully deposited $30000 for customer 101
[2019-09-24 02:46:10.615] [Thread - 8468] [info] Successfully deposit :$30000, for customer: 101
[2019-09-24 02:46:10.615] [Thread - 8469] [info] Successfully deposited $40000 for customer 101
[2019-09-24 02:46:10.615] [Thread - 8469] [info] Successfully deposit :$40000, for customer: 101
[2019-09-24 02:46:10.615] [Thread - 8470] [info] Successfully withdrew $10000 for customer 105
[2019-09-24 02:46:12.616] [Thread - 8467] [info] Successfully withdrew $1000 for customer 101
[2019-09-24 02:46:12.616] [Thread - 8467] [info] Successfully withdrew $2000 for customer 101
[2019-09-24 02:46:12.617] [Thread - 8467] [info] Successfully deposited $30000 for customer 101
[2019-09-24 02:46:12.617] [Thread - 8467] [info] Successfully deposit :$30000, for customer: 101
[2019-09-24 02:46:12.617] [Thread - 8467] [info] Successfully deposited $40000 for customer 101
[2019-09-24 02:46:12.617] [Thread - 8467] [info] Successfully deposit :$40000, for customer: 101
[2019-09-24 02:46:12.617] [Thread - 8467] [info] Successfully withdrew $10000 for customer 105
[2019-09-24 02:46:12.980] [Thread - 8467] [info] Successfully withdrew $1000 for customer 101
[2019-09-24 02:46:12.980] [Thread - 8463] [info] Successfully withdrew $2000 for customer 101
[2019-09-24 02:46:12.981] [Thread - 8468] [info] Successfully deposited $30000 for customer 101
[2019-09-24 02:46:12.981] [Thread - 8468] [info] Successfully deposit :$30000, for customer: 101
[2019-09-24 02:46:12.981] [Thread - 8469] [info] Successfully deposited $40000 for customer 101
[2019-09-24 02:46:12.981] [Thread - 8469] [info] Successfully deposit :$40000, for customer: 101
[2019-09-24 02:46:12.981] [Thread - 8470] [info] Successfully withdrew $10000 for customer 105
[2019-09-24 02:46:14.617] [Thread - 8471] [info] Successfully withdrew $1000 for customer 101
[2019-09-24 02:46:14.618] [Thread - 8471] [info] Successfully withdrew $2000 for customer 101
[2019-09-24 02:46:14.618] [Thread - 8471] [info] Successfully deposited $30000 for customer 101
[2019-09-24 02:46:14.618] [Thread - 8471] [info] Successfully deposit :$30000, for customer: 101
[2019-09-24 02:46:14.618] [Thread - 8471] [info] Successfully deposited $40000 for customer 101
[2019-09-24 02:46:14.618] [Thread - 8471] [info] Successfully deposit :$40000, for customer: 101
[2019-09-24 02:46:14.618] [Thread - 8471] [info] Successfully withdrew $10000 for customer 105
