[2019-10-04 14:29:41.373] [Thread - 32622] [info] loaded static data of size 5
[2019-10-04 14:29:41.374] [Thread - 32622] [info] server listening on port 8080
[2019-10-04 14:29:45.200] [Thread - 32627] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.200] [Thread - 32627] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.200] [Thread - 32629] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.200] [Thread - 32629] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.200] [Thread - 32630] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.200] [Thread - 32630] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.200] [Thread - 32631] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.200] [Thread - 32631] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.201] [Thread - 32628] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.201] [Thread - 32628] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.201] [Thread - 32632] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.201] [Thread - 32632] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.201] [Thread - 32633] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.202] [Thread - 32633] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.202] [Thread - 32634] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.202] [Thread - 32634] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.203] [Thread - 32626] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.203] [Thread - 32626] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.204] [Thread - 32635] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.204] [Thread - 32635] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.208] [Thread - 32637] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.208] [Thread - 32637] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.208] [Thread - 32638] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.208] [Thread - 32638] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.208] [Thread - 32639] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.208] [Thread - 32639] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.208] [Thread - 32636] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.208] [Thread - 32636] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.209] [Thread - 32640] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.209] [Thread - 32640] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.209] [Thread - 32641] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.209] [Thread - 32641] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.213] [Thread - 32625] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.213] [Thread - 32625] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.215] [Thread - 32642] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.215] [Thread - 32642] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.216] [Thread - 32643] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.216] [Thread - 32643] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.216] [Thread - 32644] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.216] [Thread - 32644] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.220] [Thread - 32646] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.220] [Thread - 32646] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.220] [Thread - 32647] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.220] [Thread - 32647] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.220] [Thread - 32653] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.220] [Thread - 32653] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.220] [Thread - 32645] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.220] [Thread - 32645] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.227] [Thread - 32655] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.227] [Thread - 32655] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.228] [Thread - 32664] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.228] [Thread - 32664] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.228] [Thread - 32666] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.228] [Thread - 32666] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.228] [Thread - 32648] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.228] [Thread - 32648] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.228] [Thread - 32649] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.229] [Thread - 32649] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.248] [Thread - 32657] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.248] [Thread - 32657] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.253] [Thread - 32659] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.253] [Thread - 32659] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.254] [Thread - 32661] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.254] [Thread - 32661] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.254] [Thread - 32663] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.254] [Thread - 32663] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.254] [Thread - 32650] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.254] [Thread - 32650] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.255] [Thread - 32658] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.255] [Thread - 32658] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.256] [Thread - 32651] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.256] [Thread - 32651] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.256] [Thread - 32652] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.256] [Thread - 32652] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.260] [Thread - 32654] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.260] [Thread - 32654] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.261] [Thread - 32656] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.261] [Thread - 32656] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.261] [Thread - 32660] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.261] [Thread - 32660] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.266] [Thread - 32665] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.266] [Thread - 32665] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.266] [Thread - 32667] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.266] [Thread - 32667] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.266] [Thread - 32668] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.266] [Thread - 32668] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.267] [Thread - 32662] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.267] [Thread - 32662] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.267] [Thread - 32669] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.267] [Thread - 32669] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.267] [Thread - 32670] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.267] [Thread - 32670] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.268] [Thread - 32671] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.268] [Thread - 32671] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.268] [Thread - 32672] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.268] [Thread - 32672] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.268] [Thread - 32624] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.268] [Thread - 32624] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.269] [Thread - 32673] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.269] [Thread - 32673] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.275] [Thread - 32676] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.275] [Thread - 32676] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.275] [Thread - 32678] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.275] [Thread - 32678] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.276] [Thread - 32677] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.276] [Thread - 32677] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.276] [Thread - 32674] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.276] [Thread - 32674] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.276] [Thread - 32675] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.276] [Thread - 32675] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.278] [Thread - 32679] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.278] [Thread - 32679] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.278] [Thread - 32680] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.278] [Thread - 32680] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.278] [Thread - 32681] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.278] [Thread - 32681] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.278] [Thread - 32682] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.278] [Thread - 32682] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.279] [Thread - 32683] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.279] [Thread - 32683] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.289] [Thread - 32685] [info] received data len: 12, data: 101 101 W 1

